track_id,artist_1,artist_2,artist_3,track_name,popularity,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
5zkdvAhLwtfZwBQEWtjYu2,Maria,None,None,Chuval li si za takiva,21,2018-06-20T10:44:56Z,0.614,0.935,5,-2.768,0,0.0459,0.0334,0.0,0.155,0.438,179.953,210000,4
6RRIz7tDnD847y5nLTfqEe,Pixel Bass,None,None,Milky Gateway,33,2018-07-23T13:51:10Z,0.9530000000000001,0.799,2,-14.709,1,0.08170000000000001,0.0465,0.47400000000000003,0.0494,0.988,114.322,67191,4
2TApWcesr4ccdP0DCTPXMD,Maria,None,None,Kazhi I,13,2018-10-02T14:00:03Z,0.672,0.861,11,-4.316,0,0.0342,0.00957,4.0399999999999994e-06,0.18,0.582,145.012,211448,4
74oLwpcs9Yu7zEg2EfIkE5,Denis,Adnan Beats,Fari,Sandokan,16,2018-07-24T12:25:00Z,0.711,0.869,1,-3.9370000000000003,0,0.161,0.0787,0.0,0.07980000000000001,0.9420000000000001,170.114,201882,4
0dhB0xRtZtTOSIRd9axxKE,Denis Arson,None,None,2 Days of Paradis,0,2018-04-02T15:00:01Z,0.535,0.888,9,-8.146,0,0.053500000000000006,0.000363,0.486,0.394,0.544,140.046,355527,4
2QVuiCKUwJuC5AMQbvp312,Fiki,Dzhena,None,K'vo te barka,3,2018-09-29T09:00:08Z,0.716,0.72,5,-6.661,1,0.0548,0.007640000000000001,0.0,0.09280000000000001,0.421,96.005,178308,4
5mbFml2OfK8uj4RnxaMwwd,Kali,None,None,Pionkata,1,2018-03-07T11:12:02Z,0.746,0.909,6,-4.157,0,0.0785,0.0357,0.0,0.0974,0.742,95.003,209684,4
4WF8FVi1mZ4sNiHuZn3OWS,Anelia,None,None,Vyarvay,9,2018-04-23T12:19:13Z,0.556,0.863,0,-7.264,0,0.0944,0.0858,0.0,0.188,0.42,187.997,201702,4
7iM7utHFWvbCw42j8gCgrQ,Maria,None,None,Ne ya poznavam taya zhena,20,2018-08-30T12:00:00Z,0.6940000000000001,0.901,6,-3.475,0,0.10300000000000001,0.0531,5.05e-05,0.34400000000000003,0.868,180.052,199167,4
53py3G7iHKTSMVB7lAXVUz,Emilia,None,None,Po-silna stavam,2,2018-01-26T10:00:00Z,0.613,0.897,4,-6.219,0,0.08660000000000001,0.0034200000000000003,0.0,0.0604,0.47700000000000004,170.061,211765,4
